200704, ARM ,5
200704, AZE ,3
200704, BIH ,2
200704, BLR ,2
200704, BRA ,2
200704, BUL ,4
200704, CAN ,1
200704, CHN ,4
200704, CRO ,1
200704, CUB ,2
200704, CZE ,3
200704, DEN ,2
200704, ENG ,6
200704, ESP ,2
200704, FRA ,5
200704, GEO ,8
200704, GER ,6
200704, HAO ,1
200704, HUA ,1
200704, HUN ,6
200704, IAN ,1
200704, IND ,3
200704, ISR ,6
200704, KAZ ,3
200704, MDA ,2
200704, NED ,6
200704, NOR ,1
200704, PER ,1
200704, POL ,5
200704, ROM ,2
200704, RUS ,31
200704, SLO ,1
200704, SRB ,2
200704, SUI ,3
200704, SVK ,1
200704, SWE ,1
200704, TUR ,1
200704, UKR ,11
200704, USA ,9
200704, UZB ,1
200704, VAN ,1
200704, YUE ,1
