label_friendly,count,month,year,name,Longitude,Latitude
2001-Q1,3,1,2001,Armenia,44.99538128017206,40.22479151884431
2001-Q1,1,1,2001,Belgium,4.5777891370759445,50.65809019455999
2001-Q1,2,1,2001,Bosnia and Herz.,17.81367540023502,44.189707587939964
2001-Q1,1,1,2001,Belarus,27.989978908560683,53.553516043056916
2001-Q1,1,1,2001,Brazil,-52.99137268109314,-11.210935367723474
2001-Q1,2,1,2001,Bulgaria,25.19867652221372,42.76534423649641
2001-Q1,4,1,2001,China,104.20682691268908,37.58566667671812
2001-Q1,2,1,2001,Czechia,15.330447014503234,49.785022117738855
2001-Q1,1,1,2001,Denmark,9.871310744062443,56.08220155912243
2001-Q1,4,1,2001,United Kingdom,-2.9027164459838444,54.10193737042122
2001-Q1,1,1,2001,Spain,-3.6145839011576544,40.433501535574024
2001-Q1,1,1,2001,Estonia,25.822001245079726,58.6556503065924
2001-Q1,5,1,2001,France,48.8534,2.3449
2001-Q1,1,1,2001,Georgia,43.472662158707024,42.17021921095487
2001-Q1,5,1,2001,Germany,10.29801806489826,51.24677017066511
2001-Q1,3,1,2001,Hungary,19.3649094430838,47.21165134354711
2001-Q1,2,1,2001,India,79.61182179059793,23.250869877445417
2001-Q1,1,1,2001,Iceland,-18.759842174976168,65.10393254430512
2001-Q1,4,1,2001,Israel,35.005867420548036,31.50071308336962
2001-Q1,1,1,2001,Kazakhstan,67.31752260316053,48.46972588843443
2001-Q1,1,1,2001,Lithuania,23.87662692233992,55.29822679501902
2001-Q1,1,1,2001,Moldova,28.40591603443183,47.21757965555515
2001-Q1,1,1,2001,North Macedonia,21.698741441990386,41.60884831274639
2001-Q1,3,1,2001,Netherlands,5.51624142723227,52.312298338736774
2001-Q1,1,1,2001,Peru,-74.37223709333243,-9.276382558395454
2001-Q1,1,1,2001,Poland,19.29507363260921,52.21093396993625
2001-Q1,2,1,2001,Romania,24.937799525583742,45.891702745087095
2001-Q1,25,1,2001,Russia,98.14710184060961,64.77818896220005
2001-Q1,1,1,2001,Slovenia,14.940188517296614,46.12844143045652
2001-Q1,2,1,2001,Switzerland,8.119434485281694,46.797495853334354
2001-Q1,1,1,2001,Slovakia,19.512982827792392,48.731459182646574
2001-Q1,2,1,2001,Sweden,16.849431838890172,63.44116376749259
2001-Q1,4,1,2001,Ukraine,31.330047857762857,49.05434315930252
